Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1, CL10B104KA8NNNC,C1590
C10,0603,1, CL10B104KA8NNNC,C1590
C11,0805,1,CL21B105KAFNFNE,C1712
C2,0805,1, CL21B103KBANNNC,C1710
C3,0603,1,0603B512K500NT,C1587
C4,0805,1,CL21B105KAFNFNE,C1712
C5,0805,1, CL21B103KBANNNC,C1710
C6,0603,1, CL10B104KA8NNNC,C1590
C7,0805,1, CL21B103KBANNNC,C1710
C8,0603,1, CL10B104KA8NNNC,C1590
C9,0603,1, CL10B104KA8NNNC,C1590
D1,1206,1,KT-1206Y,C2298
D10,1206,1,KT-1206Y,C2298
D100,SOD-323F,1,"PMEG4010CEJ,115",C50704
D101,1206,1,XL-3216WWC,C965830
D102,1206,1,XL-3216WWC,C965830
D103,1206,1,XL-3216WWC,C965830
D104,1206,1,XL-3216WWC,C965830
D105,1206,1,XL-3216WWC,C965830
D106,1206,1,XL-3216WWC,C965830
D11,1206,1,KT-1206Y,C2298
D12,1206,1,KT-1206R,C49018
D13,1206,1,KT-1206R,C49018
D14,1206,1,KT-1206Y,C2298
D15,1206,1,KT-1206Y,C2298
D16,1206,1,KT-1206R,C49018
D17,1206,1,KT-1206R,C49018
D18,1206,1,KT-1206Y,C2298
D19,1206,1,KT-1206Y,C2298
D2,1206,1,KT-1206Y,C2298
D20,1206,1,KT-1206Y,C2298
D21,1206,1,KT-1206R,C49018
D22,1206,1,KT-1206R,C49018
D23,1206,1,KT-1206Y,C2298
D24,1206,1,KT-1206Y,C2298
D25,1206,1,KT-1206R,C49018
D26,1206,1,KT-1206R,C49018
D27,1206,1,KT-1206Y,C2298
D28,1206,1,KT-1206Y,C2298
D29,1206,1,KT-1206R,C49018
D3,1206,1,KT-1206Y,C2298
D30,1206,1,KT-1206R,C49018
D31,1206,1,KT-1206Y,C2298
D32,1206,1,KT-1206Y,C2298
D33,1206,1,KT-1206R,C49018
D34,1206,1,KT-1206R,C49018
D35,1206,1,KT-1206Y,C2298
D36,1206,1,KT-1206Y,C2298
D37,1206,1,KT-1206Y,C2298
D38,1206,1,KT-1206R,C49018
D39,1206,1,KT-1206R,C49018
D4,1206,1,KT-1206Y,C2298
D40,1206,1,KT-1206Y,C2298
D41,1206,1,KT-1206Y,C2298
D42,1206,1,KT-1206R,C49018
D43,1206,1,KT-1206R,C49018
D44,1206,1,KT-1206Y,C2298
D45,1206,1,KT-1206Y,C2298
D46,1206,1,KT-1206R,C49018
D47,1206,1,KT-1206R,C49018
D48,1206,1,KT-1206Y,C2298
D49,1206,1,KT-1206Y,C2298
D5,1206,1,KT-1206Y,C2298
D50,1206,1,KT-1206Y,C2298
D51,1206,1,KT-1206R,C49018
D52,1206,1,KT-1206R,C49018
D53,1206,1,KT-1206Y,C2298
D54,1206,1,KT-1206Y,C2298
D55,1206,1,KT-1206Y,C2298
D56,1206,1,KT-1206Y,C2298
D57,1206,1,KT-1206R,C49018
D58,1206,1,KT-1206R,C49018
D59,1206,1,KT-1206R,C49018
D6,1206,1,KT-1206Y,C2298
D60,1206,1,KT-1206R,C49018
D61,1206,1,KT-1206R,C49018
D62,1206,1,KT-1206R,C49018
D63,1206,1,KT-1206R,C49018
D64,1206,1,XL-3216WWC,C965830
D65,1206,1,XL-3216WWC,C965830
D66,1206,1,XL-3216WWC,C965830
D67,1206,1,XL-3216WWC,C965830
D68,1206,1,XL-3216WWC,C965830
D69,1206,1,XL-3216WWC,C965830
D7,1206,1,KT-1206Y,C2298
D70,1206,1,XL-3216WWC,C965830
D71,1206,1,XL-3216WWC,C965830
D72,1206,1,XL-3216WWC,C965830
D73,1206,1,XL-3216WWC,C965830
D74,1206,1,XL-3216WWC,C965830
D75,1206,1,XL-3216WWC,C965830
D76,1206,1,XL-3216WWC,C965830
D77,1206,1,XL-3216WWC,C965830
D78,1206,1,XL-3216WWC,C965830
D79,1206,1,XL-3216WWC,C965830
D8,1206,1,KT-1206R,C49018
D80,1206,1,XL-3216WWC,C965830
D81,1206,1,XL-3216WWC,C965830
D82,1206,1,XL-3216WWC,C965830
D83,1206,1,XL-3216WWC,C965830
D84,1206,1,XL-3216WWC,C965830
D85,1206,1,XL-3216WWC,C965830
D86,1206,1,XL-3216WWC,C965830
D87,1206,1,XL-3216WWC,C965830
D88,1206,1,XL-3216WWC,C965830
D89,1206,1,XL-3216WWC,C965830
D9,1206,1,KT-1206R,C49018
D90,1206,1,XL-3216WWC,C965830
D91,1206,1,XL-3216WWC,C965830
D92,1206,1,XL-3216WWC,C965830
D93,1206,1,XL-3216WWC,C965830
D94,1206,1,XL-3216WWC,C965830
D95,1206,1,XL-3216WWC,C965830
D96,1206,1,XL-3216WWC,C965830
D97,1206,1,XL-3216WWC,C965830
D98,1206,1,XL-3216WWC,C965830
D99,1206,1,XL-3216WWC,C965830
IC1,WSON-6-EP,1,OPT3004DNPR,C2655153
R1,0603,1,0603WAJ0135T5E,C12647
R10,0603,1, 0603WAF1004T5E,C22935
R11,0603,1, 0603WAF1004T5E,C22935
R12,0603,1, 0603WAF2002T5E,C4184
R2,0603,1,0603WAF5102T5E,C23196
R3,0603,1, 0603WAF1004T5E,C22935
R4,0603,1,0603WAF6802T5E,C23231
R5,0603,1, 0603WAF1004T5E,C22935
R8,0603,1, 0603WAF1004T5E,C22935
R9,0603,1, 0603WAF1004T5E,C22935
U2,WQFN-16-EP,1,TPS61176RTER,C117008
U3,DFN-4-EP,1,SHTC3-TR-10KS,C2880044
