Designator,Mid X,Mid Y,Rotation,Layer
C6,73.4,-111.5,0,top
C7,57.55,-102.2,90,top
C8,59.35,-102.4,90,top
D1,69,-66.8,30,top
D10,81,-66.8,30,top
D11,81,-73.7,30,top
D14,93,-66.8,30,top
D15,93,-73.7,30,top
D18,99,-63.3,30,top
D19,99,-70.2,30,top
D2,69,-73.7,30,top
D20,99,-77.2,30,top
D23,105,-66.8,30,top
D24,105,-73.7,30,top
D27,117,-66.8,30,top
D28,117,-73.7,30,top
D3,69,-80.6,30,top
D31,129,-66.8,30,top
D32,129,-73.7,30,top
D35,135,-63.3,30,top
D36,135,-70.2,30,top
D37,135,-77.2,30,top
D4,69,-87.5,30,top
D40,141,-66.8,30,top
D41,141,-73.7,30,top
D44,153,-66.8,30,top
D45,153,-73.7,30,top
D48,159,-63.3,30,top
D49,159,-70.2,30,top
D5,75,-63.3,30,top
D50,159,-77.2,30,top
D53,165,-66.8,30,top
D54,165,-73.7,30,top
D55,165,-80.6,30,top
D56,165,-87.5,30,top
D6,75,-70.2,30,top
D7,75,-77.2,30,top
D12,81,-80.6,30,top
D13,81,-87.5,30,top
D16,93,-80.6,30,top
D17,93,-87.5,30,top
D21,99,-84.1,30,top
D22,99,-91.1,30,top
D25,105,-80.6,30,top
D26,105,-87.5,30,top
D29,117,-80.6,30,top
D30,117,-87.5,30,top
D33,129,-80.6,30,top
D34,129,-87.5,30,top
D38,135,-84.1,30,top
D39,135,-91.1,30,top
D42,141,-80.6,30,top
D43,141,-87.5,30,top
D46,153,-80.6,30,top
D47,153,-87.5,30,top
D51,159,-84.1,30,top
D52,159,-91.1,30,top
D57,81,-101.4,30,top
D58,93,-101.4,30,top
D59,105,-101.4,30,top
D60,117,-101.4,30,top
D61,129,-101.4,30,top
D62,141,-101.4,30,top
D63,153,-101.4,30,top
D8,75,-84.1,30,top
D9,75,-91.1,30,top
R5,58.5,-108.35,180,top
R8,73.4,-107.35,0,top
R9,58.5,-104.95,0,top
R10,73.4,-108.7,180,top
R11,73.4,-110.1,180,top
R12,58.5,-106.85,0,top
